,adm1_psgc,adm2_psgc,adm3_psgc,adm4_psgc,adm4_en,geo_level,len_crs,area_crs,len_km,area_km2
0,100000000,105500000,105547000,105547001,Amamperez,Bgy,13472,7971026,13,7
1,100000000,105500000,105547000,105547002,Bacag,Bgy,12894,6802113,12,6
2,100000000,105500000,105547000,105547003,Barangobong,Bgy,10633,7642413,10,7
3,100000000,105500000,105547000,105547004,Barraca,Bgy,8584,4085449,8,4
4,100000000,105500000,105547000,105547005,Capulaan,Bgy,12394,8426699,12,8
5,100000000,105500000,105547000,105547006,Caramutan,Bgy,10232,5567164,10,5
6,100000000,105500000,105547000,105547007,La Paz,Bgy,10831,5840943,10,5
7,100000000,105500000,105547000,105547008,Labit,Bgy,7033,1998922,7,1
8,100000000,105500000,105547000,105547009,Lipay,Bgy,9171,3403448,9,3
9,100000000,105500000,105547000,105547010,Lomboy,Bgy,5572,1733729,5,1
10,100000000,105500000,105547000,105547011,Piaz,Bgy,13002,6739914,13,6
11,100000000,105500000,105547000,105547012,Zone V,Bgy,2660,373263,2,0
12,100000000,105500000,105547000,105547013,Zone I,Bgy,3816,645174,3,0
13,100000000,105500000,105547000,105547014,Zone II,Bgy,4652,726405,4,0
14,100000000,105500000,105547000,105547015,Zone III,Bgy,3634,727366,3,0
15,100000000,105500000,105547000,105547016,Zone IV,Bgy,2175,193893,2,0
16,100000000,105500000,105547000,105547017,Puelay,Bgy,6518,2074441,6,2
17,100000000,105500000,105547000,105547018,San Blas,Bgy,5097,1337234,5,1
18,100000000,105500000,105547000,105547019,San Nicolas,Bgy,4291,854469,4,0
19,100000000,105500000,105547000,105547020,Tombod,Bgy,9098,3964152,9,3
20,100000000,105500000,105547000,105547021,Unzad,Bgy,14752,9819056,14,9
21,100000000,105500000,105527000,105527001,Andangin,Bgy,7028,2366746,7,2
22,100000000,105500000,105527000,105527002,Arellano Street,Bgy,1575,64191,1,0
23,100000000,105500000,105527000,105527003,Bantay,Bgy,4573,672555,4,0
