,Region,Electorate (2019),Population (2020),Area (km2),Representative,,Party,Province,District No.,Electrorate (2019),Article Link,District Key
0,CAR,"177,058",250985,4165.25,Menchie Bernos,,Lakas,Abra,at-large,177058,/wiki/Abra%27s_at-large_congressional_district,Abra|at-large
1,XIII,"238,541",403150,1399.31,Jose Aquino II,,Lakas,Agusan del Norte,1,238541,/wiki/Agusan_del_Norte%27s_1st_congressional_district,Agusan del Norte|1
2,XIII,"239,118",357263,2147.55,Dale Corvera,,Lakas,Agusan del Norte,2,239118,/wiki/Agusan_del_Norte%27s_2nd_congressional_district,Agusan del Norte|2
3,XIII,"201,019",366004,4472.97,Alfel Bascug,,NUP,Agusan del Sur,1,201019,/wiki/Agusan_del_Sur%27s_1st_congressional_district,Agusan del Sur|1
4,XIII,"222,211",373363,5516.55,Eddiebong Plaza,,NUP,Agusan del Sur,2,222211,/wiki/Agusan_del_Sur%27s_2nd_congressional_district,Agusan del Sur|2
5,VI,"200,459",313775,1033.75,Carlito Marquez,,NPC,Aklan,1,200459,/wiki/Aklan%27s_1st_congressional_district,Aklan|1
6,VI,"189,901",301700,787.67,Teodorico Haresco Jr.,,Nacionalista,Aklan,2,189901,/wiki/Aklan%27s_2nd_congressional_district,Aklan|2
7,V,"249,910",395907,547.88,Edcel Lagman,,Liberal,Albay,1,249910,/wiki/Albay%27s_1st_congressional_district,Albay|1
8,V,"281,679",477781,665.94,Joey Salceda,,Lakas,Albay,2,281679,/wiki/Albay%27s_2nd_congressional_district,Albay|2
9,V,"308,911",501080,1361.95,Fernando Cabredo,,NUP,Albay,3,308911,/wiki/Albay%27s_3rd_congressional_district,Albay|3
10,IV-A,"224,611",379568,35.15,Roberto Puno,,NUP,Antipolo,1,224611,/wiki/Antipolo%27s_1st_congressional_district,Antipolo|1
11,IV-A,"257,451",507831,258.57,Romeo Acop,,NUP,Antipolo,2,257451,/wiki/Antipolo%27s_2nd_congressional_district,Antipolo|2
12,VI,"371,244",612974,2729.17,Antonio Legarda Jr.,,NPC,Antique,at-large,371244,/wiki/Antique%27s_at-large_congressional_district,Antique|at-large
13,CAR,"74,743",124366,4413.35,Eleanor Bulut Begtang,,NPC,Apayao,at-large,74743,/wiki/Apayao%27s_at-large_congressional_district,Apayao|at-large
14,III,"145,617",235750,3147.32,Rommel T. Angara,,LDP,Aurora,at-large,145617,/wiki/Aurora%27s_at-large_congressional_district,Aurora|at-large
15,VI,"312,816",600783,162.67,Greg Gasataya,,NPC,Bacolod,at-large,312816,/wiki/Bacolod%27s_at-large_congressional_district,Bacolod|at-large
16,CAR,"164,125",366358,57.51,Marquez Go,,Nacionalista,Baguio,at-large,164125,/wiki/Baguio%27s_at-large_congressional_district,Baguio|at-large
17,BARMM,"263,017",556586,1327.23,Mujiv Hataman,,Basilan Unity Party,Basilan,at-large,263017,/wiki/Basilan%27s_at-large_congressional_district,Basilan|at-large
18,III,"150,127",229071,357.92,Geraldine Roman,,Lakas,Bataan,1,150127,/wiki/Bataan%27s_1st_congressional_district,Bataan|1
19,III,"194,748",289455,318.24,Albert Garcia,,NUP,Bataan,2,194748,/wiki/Bataan%27s_2nd_congressional_district,Bataan|2
20,III,"210,632",334847,696.82,Maria Angela Garcia,,NUP,Bataan,3,210632,/wiki/Bataan%27s_3rd_congressional_district,Bataan|3
21,II,"12,204",18831,219.01,Ciriaco Gato Jr.,,NPC,Batanes,at-large,12204,/wiki/Batanes%27s_at-large_congressional_district,Batanes|at-large
22,IV-A,"378,526",635962,924.83,Eric Buhain,,Nacionalista,Batangas,1,378526,/wiki/Batangas%27s_1st_congressional_district,Batangas|1
23,IV-A,"193,151",306809,399.14,Gerville Luistro,,Lakas,Batangas,2,193151,/wiki/Batangas%27s_2nd_congressional_district,Batangas|2
24,IV-A,"430,588",768561,545.73,Maria Theresa Collantes,,NPC,Batangas,3,430588,/wiki/Batangas%27s_3rd_congressional_district,Batangas|3
25,IV-A,"291,063",472794,757.69,Lianda Bolilia,,Nacionalista,Batangas,4,291063,/wiki/Batangas%27s_4th_congressional_district,Batangas|4
26,IV-A,"223,258",351437,282.96,Mario Vittorio Mariño,,Nacionalista,Batangas,5,223258,/wiki/Batangas%27s_5th_congressional_district,Batangas|5
27,IV-A,"200,706",372931,209.4,Vacant,,,Batangas,6,200706,/wiki/Batangas%27s_6th_congressional_district,Batangas|6
28,CAR,"227,033",460683,2769.08,Eric Yap,,United Benguet Party,Benguet,at-large,227033,/wiki/Legislative_districts_of_Benguet,Benguet|at-large
29,VIII,"121,755",179312,536.01,Gerardo Espina Jr.,,Lakas,Biliran,at-large,121755,/wiki/Biliran%27s_at-large_congressional_district,Biliran|at-large
30,IV-A,"194,174",407437,43.5,Marlyn Alonte-Naguiat,,Lakas,Biñan,at-large,194174,/wiki/Bi%C3%B1an%27s_at-large_congressional_district,Biñan|at-large
31,VII,"299,640",470599,1002.68,Edgar Chatto,,NUP,Bohol,1,299640,/wiki/Bohol%27s_1st_congressional_district,Bohol|1
32,VII,"293,141",471025,1640.57,Maria Vanessa Aumentado,,Lakas,Bohol,2,293141,/wiki/Bohol%27s_2nd_congressional_district,Bohol|2
33,VII,"305,901",452705,2187.54,Kristine Alexie Besas-Tutor,,Lakas,Bohol,3,305901,/wiki/Bohol%27s_3rd_congressional_district,Bohol|3
34,X,"192,203",332575,2681.51,Jose Manuel Alba,,Bukidnon Paglaum,Bukidnon,1,192203,/wiki/Bukidnon%27s_1st_congressional_district,Bukidnon|1
35,X,"223,518",409880,3297.07,Jonathan Keith Flores,,Lakas,Bukidnon,2,223518,/wiki/Bukidnon%27s_2nd_congressional_district,Bukidnon|2
36,X,"285,392",482016,3219.57,Jose Maria Zubiri Jr.,,Bukidnon Paglaum,Bukidnon,3,285392,/wiki/Bukidnon%27s_3rd_congressional_district,Bukidnon|3
