,municity,population_2020,area_km2,density_2020,barangays,class,province,article_link,district_key
0,Bangued,50382,105.7,476.65,31,Mun,Abra,/wiki/Bangued,Abra|Bangued
1,Boliney,4551,216.92,20.98,8,Mun,Abra,/wiki/Boliney,Abra|Boliney
2,Bucay,17953,102.16,175.73,21,Mun,Abra,"/wiki/Bucay,_Abra",Abra|Bucay
3,Bucloc,2395,63.77,37.56,4,Mun,Abra,/wiki/Bucloc,Abra|Bucloc
4,Daguioman,2019,114.37,17.65,4,Mun,Abra,/wiki/Daguioman,Abra|Daguioman
5,Danglas,4074,156.02,26.11,7,Mun,Abra,/wiki/Danglas,Abra|Danglas
6,Dolores,11512,47.45,242.61,15,Mun,Abra,"/wiki/Dolores,_Abra",Abra|Dolores
7,La Paz,16493,51.41,320.81,12,Mun,Abra,"/wiki/La_Paz,_Abra",Abra|La Paz
8,Lacub,3612,295.3,12.23,6,Mun,Abra,/wiki/Lacub,Abra|Lacub
9,Lagangilang,14914,101.44,147.02,17,Mun,Abra,/wiki/Lagangilang,Abra|Lagangilang
10,Lagayan,4488,215.97,20.78,5,Mun,Abra,/wiki/Lagayan,Abra|Lagayan
11,Langiden,3576,116.29,30.75,6,Mun,Abra,/wiki/Langiden,Abra|Langiden
12,Licuan-Baay,4566,256.42,17.81,11,Mun,Abra,/wiki/Licuan-Baay,Abra|Licuan-Baay
13,Luba,6518,148.27,43.96,8,Mun,Abra,"/wiki/Luba,_Abra",Abra|Luba
14,Malibcong,4027,283.17,14.22,12,Mun,Abra,/wiki/Malibcong,Abra|Malibcong
15,Manabo,11611,110.95,104.65,11,Mun,Abra,/wiki/Manabo,Abra|Manabo
16,Peñarrubia,6951,38.29,181.54,9,Mun,Abra,"/wiki/Pe%C3%B1arrubia,_Abra",Abra|Peñarrubia
17,Pidigan,12475,49.15,253.81,15,Mun,Abra,/wiki/Pidigan,Abra|Pidigan
18,Pilar,10146,66.1,153.49,19,Mun,Abra,"/wiki/Pilar,_Abra",Abra|Pilar
19,Sallapadan,6389,128.62,49.67,9,Mun,Abra,/wiki/Sallapadan,Abra|Sallapadan
20,San Isidro,4745,48.07,98.71,9,Mun,Abra,"/wiki/San_Isidro,_Abra",Abra|San Isidro
21,San Juan,10688,64.08,166.79,19,Mun,Abra,"/wiki/San_Juan,_Abra",Abra|San Juan
22,San Quintin,5705,66.59,85.67,6,Mun,Abra,"/wiki/San_Quintin,_Abra",Abra|San Quintin
23,Tayum,14869,61.14,243.2,11,Mun,Abra,/wiki/Tayum,Abra|Tayum
24,Tineg,4977,744.8,6.68,10,Mun,Abra,/wiki/Tineg,Abra|Tineg
25,Tubo,5674,409.87,13.84,10,Mun,Abra,"/wiki/Tubo,_Abra",Abra|Tubo
26,Villaviciosa,5675,102.93,55.13,8,Mun,Abra,"/wiki/Villaviciosa,_Abra",Abra|Villaviciosa
27,Buenavista,68892,475.61,144.85,25,Mun,Agusan del Norte,"/wiki/Buenavista,_Agusan_del_Norte",Agusan del Norte|Buenavista
28,Butuan,372910,816.62,456.65,86,HUC,Agusan del Norte,/wiki/Butuan,Agusan del Norte|Butuan
29,Cabadbaran,80354,214.44,374.72,31,CC,Agusan del Norte,/wiki/Cabadbaran,Agusan del Norte|Cabadbaran
30,Carmen,23172,311.02,74.5,8,Mun,Agusan del Norte,"/wiki/Carmen,_Agusan_del_Norte",Agusan del Norte|Carmen
31,Jabonga,24855,293.0,84.83,15,Mun,Agusan del Norte,/wiki/Jabonga,Agusan del Norte|Jabonga
32,Kitcharao,21278,171.92,123.77,11,Mun,Agusan del Norte,/wiki/Kitcharao,Agusan del Norte|Kitcharao
33,Las Nieves,30240,582.69,51.9,20,Mun,Agusan del Norte,"/wiki/Las_Nieves,_Agusan_del_Norte",Agusan del Norte|Las Nieves
34,Magallanes,22293,44.31,503.11,8,Mun,Agusan del Norte,"/wiki/Magallanes,_Agusan_del_Norte",Agusan del Norte|Magallanes
35,Nasipit,44822,144.4,310.4,19,Mun,Agusan del Norte,/wiki/Nasipit,Agusan del Norte|Nasipit
36,Remedios T. Romualdez,17155,79.15,216.74,8,Mun,Agusan del Norte,/wiki/Remedios_T._Romualdez,Agusan del Norte|Remedios T. Romualdez
37,Santiago,28657,275.61,103.98,9,Mun,Agusan del Norte,"/wiki/Santiago,_Agusan_del_Norte",Agusan del Norte|Santiago
38,Tubay,25785,138.09,186.73,13,Mun,Agusan del Norte,/wiki/Tubay,Agusan del Norte|Tubay
