,Coordinates,Country,Island Group,Area,Highest Elevation,Population,Time Zone,ISO 3166 Code,Provinces,Independent Cities,Component Cities,Muncipalities,Barangays,Congressional Districts,Extract Languages,GDP,Growth Rate,HDI,HDI Rank,Website,Article Link
0,"{'Latitude': '14°35′N', 'Longitude': '121°00′E'}",Philippines,Luzon,{'Region': '636.00\xa0km2 (245.56\xa0sq\xa0mi)'},"{'Body': None, 'Peak': None}","{'Region': '13,484,462', 'Density': 21202.0, 'Metro[6]': '26,700,000'}",UTC+8 (PST),PH-00,,"{'Independent Cities (Count)': None, 'Independent Cities': None}","{'Component Cities (Count)': None, 'Component Cities': None}",,,,,,"{'Trend': None, 'Percentage': None}","{'Trend': 1, 'Percentage': ' 0.85'}","{'Rank': None, 'Year': '2019'}",mmda.gov.ph ,/wiki/Metro_Manila
1,"{'Latitude': '17°10′N', 'Longitude': '121°10′E'}",Philippines,Luzon,{'Total': 19422.03},"{'Body': 'Mount Pulag', 'Peak': '2,928\xa0m'}","{'Total': 1797660, 'Estimate\xa0(2020)': '1,807,758[1]', 'Density': 93.0}",UTC+8 (PST),PH-15,"{'Provinces (Count)': 6, 'Provinces': [' Abra', ' Apayao', ' Benguet', ' Ifugao', ' Kalinga', ' Mountain Province']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Baguio']}","{'Component Cities (Count)': 1, 'Component Cities': [' Tabuk']}",75,1178.0,1178.0,,410560000000.0,"{'Trend': 1, 'Percentage': '6.9'}","{'Trend': 1, 'Percentage': ' 0.777'}","{'Rank': '3', 'Year': '2019'}",,/wiki/Cordillera_Administrative_Region
2,"{'Latitude': '16°37′N', 'Longitude': '120°19′E'}",Philippines,Luzon,{'Total': 13013.6},"{'Body': 'Mount Sicapoo', 'Peak': '2,361\xa0m'}","{'Total': 5301139, 'Estimate\xa0(2020)': '5,220,807[1]', 'Density': 410.0}",UTC+8 (PST),PH-01,"{'Provinces (Count)': 4, 'Provinces': [' Ilocos Norte', ' Ilocos Sur', ' La Union', ' Pangasinan']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Dagupan']}","{'Component Cities (Count)': 8, 'Component Cities': [' Alaminos', ' Batac', ' Candon', ' Laoag', ' San Carlos', ' San Fernando', ' Urdaneta', ' Vigan']}",116,3267.0,3267.0,,814290000000.0,"{'Trend': 1, 'Percentage': '7.1'}","{'Trend': 1, 'Percentage': ' 0.743'}","{'Rank': '6', 'Year': '2019'}",,/wiki/Ilocos_Region
3,"{'Latitude': None, 'Longitude': None}",Philippines,Luzon,{'Total': 28228.83},"{'Body': 'Mount Pulag', 'Peak': '2,928\xa0m'}","{'Total': 3685744, 'Estimate\xa0(2020)': '3,657,741[1]', 'Density': 130.0}",UTC+8 (PST),PH-02,"{'Provinces (Count)': 5, 'Provinces': [' Batanes', ' Cagayan', ' Isabela', ' Nueva Vizcaya', ' Quirino']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Santiago']}","{'Component Cities (Count)': 3, 'Component Cities': [' Cauayan', ' Ilagan', ' Tuguegarao']}",89,2311.0,2311.0,,510830000000.0,"{'Trend': 1, 'Percentage': '6.2'}","{'Trend': 1, 'Percentage': ' 0.709'}","{'Rank': '7', 'Year': '2019'}",,/wiki/Cagayan_Valley
4,"{'Latitude': '15°28′N', 'Longitude': '120°45′E'}",Philippines,Luzon,{'Total': 22014.63},"{'Body': 'Mount Tapulao', 'Peak': '2,037\xa0m'}","{'Total': 12422172, 'Density': 560.0}",UTC+8 (PST),PH-03,"{'Provinces (Count)': 7, 'Provinces': [' Aurora', ' Bataan', ' Bulacan', ' Nueva Ecija', ' Pampanga', ' Tarlac', ' Zambales']}","{'Independent Cities (Count)': 2, 'Independent Cities': [' Angeles', ' Olongapo']}","{'Component Cities (Count)': 13, 'Component Cities': [' Balanga', ' Baliwag', ' Cabanatuan', ' Gapan', ' Mabalacat', ' Malolos', ' Meycauayan', ' Muñoz', ' Palayan', ' San Fernando', ' San Jose', ' San Jose del Monte', ' Tarlac City']}",115,3102.0,3102.0,,2650000000000.0,"{'Trend': 1, 'Percentage': '6.1'}","{'Trend': 1, 'Percentage': ' 0.765'}","{'Rank': '4', 'Year': '2019'}",,/wiki/Central_Luzon
5,"{'Latitude': '14°00′N', 'Longitude': '121°30′E'}",Philippines,Luzon,{'Total': 16873.31},"{'Body': 'Mount Banahaw', 'Peak': '2,170\xa0m'}","{'Total': 16195042, 'Density': 960.0}",UTC+8 (PST),PH-40,"{'Provinces (Count)': 5, 'Provinces': [' Batangas', ' Cavite', ' Laguna', ' Quezon', ' Rizal']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Lucena']}","{'Component Cities (Count)': 21, 'Component Cities': [' Antipolo', ' Bacoor', ' Batangas City', ' Biñan', ' Cabuyao', ' Calaca', ' Calamba', ' Carmona', ' Cavite City', ' Dasmariñas', ' General Trias', ' Imus', ' Lipa', ' San Pablo', ' San Pedro', ' Santa Rosa', ' Santo Tomas', ' Tagaytay', ' Tanauan', ' Tayabas', ' Trece Martires']}",120,4019.0,4019.0,,3440000000000.0,"{'Trend': 1, 'Percentage': '5.2'}","{'Trend': 1, 'Percentage': ' 0.795'}","{'Rank': '2', 'Year': '2019'}",,/wiki/Calabarzon
6,"{'Latitude': '10°40′N', 'Longitude': '119°30′E'}",Philippines,Luzon,{'Total': 29620.9},"{'Body': 'Mount Halcon', 'Peak': '2,586\xa0m'}","{'Total': 3228558, 'Density': 110.0}",UTC+8 (PST),PH-41,"{'Provinces (Count)': 5, 'Provinces': [' Marinduque', ' Occidental Mindoro', ' Oriental Mindoro', ' Palawan', ' Romblon']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Puerto Princesa']}","{'Component Cities (Count)': 1, 'Component Cities': [' Calapan']}",71,1460.0,1460.0,,472000000000.0,"{'Trend': 1, 'Percentage': '4.7'}","{'Trend': 1, 'Percentage': ' 0.673'}","{'Rank': '15', 'Year': '2019'}",,/wiki/Mimaropa
7,"{'Latitude': '13°30′N', 'Longitude': '123°20′E'}",Philippines,Luzon,{'Total': 18155.82},"{'Body': 'Mayon Volcano', 'Peak': '2,463\xa0m'}","{'Total': 6082165, 'Density': 330.0}",UTC+8 (PST),PH-05,"{'Provinces (Count)': 6, 'Provinces': [' Albay', ' Camarines Norte', ' Camarines Sur', ' Catanduanes', ' Masbate', ' Sorsogon']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Naga']}","{'Component Cities (Count)': 6, 'Component Cities': [' Iriga', ' Legazpi', ' Ligao', ' Masbate City', ' Sorsogon City', ' Tabaco']}",107,3471.0,3471.0,"{'Bikol languages': ['Central Bikol', 'Albayanon', 'Rinconada', 'Northern Catanduanes', 'Southern Catanduanes'], 'Visayan languages': ['Masbateño', 'Northern Sorsogon', 'Waray Sorsogon'], 'Tagalog': {}, 'English': {}}",701720000000.0,"{'Trend': 1, 'Percentage': '4.58'}","{'Trend': 1, 'Percentage': ' 0.687'}","{'Rank': '13', 'Year': '2019'}",dilgbicol.org,/wiki/Bicol_Region
8,"{'Latitude': '11°08′N', 'Longitude': '122°32′E'}",Philippines,Visayas,{'Total': 12750.63},"{'Body': 'Mount Madja-as', 'Peak': '2,117\xa0m'}","{'Total': 4730771, 'Density': 370.0}",UTC+8 (PST),PH-06,"{'Provinces (Count)': 5, 'Provinces': [' Aklan', ' Antique', ' Capiz', ' Guimaras', ' Iloilo']}","{'Independent Cities (Count)': 1, 'Independent Cities': [' Iloilo City']}","{'Component Cities (Count)': 2, 'Component Cities': [' Passi', ' Roxas']}",98,3209.0,3209.0,,620790000000.0,"{'Trend': None, 'Percentage': None}","{'Trend': 1, 'Percentage': ' 0.761'}","{'Rank': '5', 'Year': '2019'}",,/wiki/Western_Visayas
9,"{'Latitude': None, 'Longitude': None}",Philippines,,{'Total': 13525.56},"{'Body': 'Mount Kanlaon', 'Peak': '2,465\xa0m'}","{'Total': 4760340, 'Density': 350.0}",UTC+8 (PST),,,"{'Independent Cities (Count)': 1, 'Independent Cities': [' Bacolod']}","{'Component Cities (Count)': 18, 'Component Cities': [' Bago', ' Bais', ' Bayawan', ' Cadiz', ' Canlaon', ' Dumaguete', ' Escalante', ' Guihulngan', ' Himamaylan', ' Kabankalan', ' La Carlota', ' Sagay', ' San Carlos', ' Silay', ' Sipalay', ' Talisay', ' Tanjay', ' Victorias']}",44,1353.0,1353.0,,557680000000.0,"{'Trend': None, 'Percentage': None}",,"{'Rank': None, 'Year': None}",,/wiki/Negros_Island_Region
