,ISO,Province Name,PSGC
0,PH-ABR,Abra,1400100000
1,PH-AGN,Agusan del Norte,1600200000
2,PH-AGS,Agusan del Sur,1600300000
3,PH-AKL,Aklan,600400000
4,PH-ALB,Albay,500500000
5,PH-ANT,Antique,600600000
6,PH-APA,Apayao,1408100000
7,PH-AUR,Aurora,307700000
8,PH-BAN,Bataan,1900700000
9,PH-BAS,Basilan,300800000
10,PH-BEN,Benguet,200900000
11,PH-BIL,Biliran,401000000
12,PH-BOH,Bohol,1401100000
13,PH-BTG,Batangas,807800000
14,PH-BTN,Batanes,701200000
15,PH-BUK,Bukidnon,1001300000
16,PH-BUL,Bulacan,301400000
17,PH-CAG,Cagayan,201500000
18,PH-CAM,Camiguin,501600000
19,PH-CAN,Camarines Norte,501700000
20,PH-CAP,Capiz,1001800000
21,PH-CAS,Camarines Sur,601900000
22,PH-CAT,Catanduanes,502000000
23,PH-CAV,Cavite,402100000
24,PH-CEB,Cebu,702200000
25,PH-COM,Davao de Oro,1204700000
26,PH-DAO,Davao Oriental,1108200000
27,PH-DAS,Davao del Sur,1102300000
28,PH-DAV,Davao del Norte,1102400000
29,PH-DIN,Dinagat Islands,1108600000
30,PH-DVO,Davao Occidental,1102500000
31,PH-EAS,Eastern Samar,1608500000
32,PH-GUI,Guimaras,802600000
33,PH-IFU,Ifugao,607900000
34,PH-ILI,Iloilo,1402700000
35,PH-ILN,Ilocos Norte,102800000
36,PH-ILS,Ilocos Sur,102900000
37,PH-ISA,Isabela,603000000
38,PH-KAL,Kalinga,203100000
39,PH-LAG,Laguna,1403200000
40,PH-LAN,Lanao del Norte,103300000
41,PH-LAS,Lanao del Sur,403400000
42,PH-LEY,Leyte,1003500000
43,PH-LUN,La Union,1903600000
44,PH-MAD,Marinduque,803700000
45,PH-MAS,Masbate,1908700000
46,PH-MDC,Occidental Mindoro,1908800000
47,PH-MDN,Maguindanao del Norte,1704000000
48,PH-MDR,Oriental Mindoro,504100000
49,PH-MDS,Maguindanao del Sur,1004200000
50,PH-MOU,Mountain Province,1004300000
51,PH-MSC,Misamis Occidental,1404400000
52,PH-MSR,Misamis Oriental,604500000
53,PH-NCO,Cotabato,704600000
54,PH-NEC,Negros Occidental,804800000
55,PH-NER,Negros Oriental,304900000
56,PH-NSA,Northern Samar,205000000
57,PH-NUE,Nueva Ecija,1705100000
58,PH-NUV,Nueva Vizcaya,1705200000
59,PH-PAM,Pampanga,1705300000
60,PH-PAN,Pangasinan,305400000
61,PH-PLW,Palawan,105500000
62,PH-QUE,Quezon,405600000
63,PH-QUI,Quirino,205700000
64,PH-RIZ,Rizal,405800000
65,PH-ROM,Romblon,1705900000
66,PH-SAR,Sarangani,806000000
67,PH-SCO,South Cotabato,1208000000
68,PH-SIG,Siquijor,706100000
69,PH-SLE,Southern Leyte,506200000
70,PH-SLU,Sulu,1206300000
71,PH-SOR,Sorsogon,806400000
72,PH-SUK,Sultan Kudarat,1206500000
73,PH-SUN,Surigao del Norte,1906600000
74,PH-SUR,Surigao del Sur,1606700000
75,PH-TAR,Tarlac,1606800000
76,PH-TAW,Tawi-Tawi,306900000
77,PH-WSA,Samar,1907000000
78,PH-ZAN,Zamboanga del Norte,307100000
79,PH-ZAS,Zamboanga del Sur,907200000
80,PH-ZMB,Zambales,907300000
81,PH-ZSI,Zamboanga Sibugay,908300000
81,PH-ZSI,Metro Manila,MM
