,Unnamed: 0,Municity,Population (2020),Area (km2),Density (2020),Barangays_x,Class,Province_x,Article Link_x,Municity Key,Coordinates,Region,Province_y,District,Founded,Barangays_y,Government,Area,Elevation,Highest Elevation,Lowest Elevation,Population,Economy,Service Provider,Time Zone,Zip Code,PSGC,IDD Area Code,Native Languages,Website,Article Link_y,Ref. Id
0,0,Bangued,50382,105.7,476.65,31,Mun,Abra,/wiki/Bangued,Abra|Bangued,"{'Latitude': '17°36′N', 'Longitude': '120°37′E'}",Cordillera Administrative Region,Abra,Lo,{},31.0,"{'Type': 'Sangguniang Bayan', 'Mayor': {'Name': 'Mila A. Valera ', 'Party': 'Asenso'}, 'Vice Mayor': {'Name': 'Joaquin Enrico V. Bernos ', 'Party': 'Asenso'}, 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Salvacion B. Borja', 'Mark Froilan P. Seares', 'Byrone B. Alzate', 'Rowena B. Bringas', 'Danilo A. Adame', 'Mark Anthony R. Go', 'Serafin B. Alzate', 'Benedict V. Bersamira'], 'Electorate': {'Name': '34,570 voters ', 'Party': '2022'}}","[('Total', 105.702)]",57.0,401.0,23.0,"{'Total': 50382, 'Density': 480.0, 'Households': 12279}","{'Income class': '1st municipal income class', 'Poverty incidence': 18.3, 'Revenue': 399200000.0, 'Assets': 372300000.0, 'Expenditure': 383800000.0, 'Liabilities': 54290000.0}",{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2800,140101000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",www.bangued.gov.ph,/wiki/Bangued,m:140101000
1,1,Boliney,4551,216.92,20.98,8,Mun,Abra,/wiki/Boliney,Abra|Boliney,"{'Latitude': '17°23′N', 'Longitude': '120°49′E'}",Cordillera Administrative Region,Abra,Lo,{},8.0,"{'Type': 'Sangguniang Bayan', 'Mayor': {'Name': 'Ronald L. Balao-as', 'Party': 'Asenso'}, 'Vice Mayor': {'Name': 'Julius S. Balao-as', 'Party': 'Asenso'}, 'Representative': {'Name': 'Menchie B. Bernos', 'Party': 'NP'}, 'Municipal Council': ['Edmund L. Stimson', 'Sotto A. Wilson', 'Benipaz S. Balao-as', 'Balnawi S. Balao-as', 'Dangwa B. Bersamin', 'Danilo S. Stimson', 'Jonathan C. Salabao', 'Loreto A. Bacuyag'], 'Electorate': {'Name': '3,025 voters ', 'Party': '2022'}}","[('Total', 216.922)]",736.0,1520.0,275.0,"{'Total': 4551, 'Density': 21.0, 'Households': 871}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2815,140102000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Boliney,m:140102000
2,2,Bucay,17953,102.16,175.73,21,Mun,Abra,"/wiki/Bucay,_Abra",Abra|Bucay,"{'Latitude': '17°32′N', 'Longitude': '120°43′E'}",Cordillera Administrative Region,Abra,Lo,{},21.0,"{'Type': 'Sangguniang Bayan', 'Mayor': {'Name': 'Jay Dominador G. Go', 'Party': 'Asenso'}, 'Vice Mayor': {'Name': 'Judor P. Zales', 'Party': 'Asenso'}, 'Representative': {'Name': 'Menchie B. Bernos', 'Party': 'NP'}, 'Municipal Council': ['Mikhail C. Baroña', 'Raplh Gerald P. Bernardez', 'Nathan C. Bernardez', 'Juanito P. Zales Jr.', 'Ludevina G. Co', 'Jason A. Cantil', 'Diosdado P. Gonzales', 'Juan S. Palcon'], 'Electorate': {'Name': '13,026 voters ', 'Party': '2022'}}","[('Total', 102.162)]",172.0,567.0,60.0,"{'Total': 17953, 'Density': 180.0, 'Households': 4339}","{'Income class': '5th municipal income class', 'Poverty incidence': 10.07, 'Revenue': 126900000.0, 'Assets': 331600000.0, 'Expenditure': 110400000.0, 'Liabilities': 60920000.0}",{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2805,140103000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,"/wiki/Bucay,_Abra",m:140103000
3,3,Bucloc,2395,63.77,37.56,4,Mun,Abra,/wiki/Bucloc,Abra|Bucloc,"{'Latitude': '17°26′N', 'Longitude': '120°52′E'}",Cordillera Administrative Region,Abra,Lo,{},4.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Gody H. Cardenas', 'Vice Mayor': 'Eugene C. Cillo', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Romel L. Bayongan', 'Moises B. Puglay', 'Marlon B. Bagioan', 'Dindo B. Latawan', 'Willy B. Bayongan', 'Pablito M. Hermoso Jr.', 'Darwin B. Lingayo', 'Alonzo B. Dalloway'], 'Electorate': {'Name': '2,030 voters ', 'Party': '2022'}}","[('Total', 63.772)]",601.0,1178.0,282.0,"{'Total': 2395, 'Density': 38.0, 'Households': 480}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2817,140104000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Bucloc,m:140104000
4,4,Daguioman,2019,114.37,17.65,4,Mun,Abra,/wiki/Daguioman,Abra|Daguioman,"{'Latitude': '17°28′N', 'Longitude': '120°56′E'}",Cordillera Administrative Region,Abra,Lo,{},4.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Salma Q. Padilla', 'Vice Mayor': 'Marcelo J. Padilla', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Freshlee S. Basingan', 'Barbero P. Wilson', 'Mary Joy S. Gascid', 'Estefan L. Lomioan', 'Ned Reinhard D. Quibayen', 'Luther B. Dodoy', 'Marzon G. Riego', 'Nuely Q. Co Kue'], 'Electorate': {'Name': '1,484 voters ', 'Party': '2022'}}","[('Total', 114.372)]",862.0,1889.0,388.0,"{'Total': 2019, 'Density': 18.0, 'Households': 414}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2816,140105000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Daguioman,m:140105000
5,5,Danglas,4074,156.02,26.11,7,Mun,Abra,/wiki/Danglas,Abra|Danglas,"{'Latitude': '17°41′35″N', 'Longitude': '120°39′55″E'}",Cordillera Administrative Region,Abra,Lo,{},7.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Denise Florence B. Bragas', 'Vice Mayor': 'Esther B. Bernos', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Joanette B. Cay-an', 'Bobby L. Valera', 'Carmelo M. Acnam', 'Jonathan H. Layugan', 'Dominador S. Acnam', 'Genaro B. Alita', 'Zenaida F. Balucas', 'Vivencio M. Bringas'], 'Electorate': {'Name': '3,502 voters ', 'Party': '2022'}}","[('Total', 156.022)]",161.0,812.0,44.0,"{'Total': 4074, 'Density': 26.0, 'Households': 989}","{'Income class': '5th municipal income class', 'Poverty incidence': 8.69, 'Revenue': 74510000.0, 'Assets': 262700000.0, 'Expenditure': 81770000.0, 'Liabilities': 88270000.0}",{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2825,140106000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Danglas,m:140106000
6,6,Dolores,11512,47.45,242.61,15,Mun,Abra,"/wiki/Dolores,_Abra",Abra|Dolores,"{'Latitude': '17°39′N', 'Longitude': '120°43′E'}",Cordillera Administrative Region,Abra,Lo,{},15.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Conde T. Turqueza', 'Vice Mayor': 'Lourdes Jacqueline B. Baac', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['David B. Guzman Jr.', 'Russ Marion T. Zapata', 'Frederick D. Pilorin', 'Clint Chester B. Guzman', 'Robert P. Ardaniel', 'Medeline Melody B. Castro', 'Rodelio R. Pudol', 'Paul Dan Ace Z. Guzman'], 'Electorate': {'Name': '8,765 voters ', 'Party': '2022'}}","[('Total', 47.452)]",85.0,280.0,44.0,"{'Total': 11512, 'Density': 240.0, 'Households': 2847}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2801,140107000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",doloresonline.gov.ph,"/wiki/Dolores,_Abra",m:140107000
7,7,La Paz,16493,51.41,320.81,12,Mun,Abra,"/wiki/La_Paz,_Abra",Abra|La Paz,"{'Latitude': '17°40′26″N', 'Longitude': '120°41′05″E'}",Cordillera Administrative Region,Abra,Lo,{},12.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Joseph Sto. Niño B. Bernos', 'Vice Mayor': 'Benito E. Nono', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Julbert B. Timbreza', 'Ronnel R. Balaoro', 'Arnulfo B. Biscarra Jr.', 'Vida P. Labios', 'Moises Angelo Q. Galinato', 'Nicasio P. Turqueza', 'Ramon T. Bayudang Sr.', 'Ronald P. Ola'], 'Electorate': {'Name': '11,146 voters ', 'Party': '2022'}}","[('Total', 51.412)]",210.0,1088.0,29.0,"{'Total': 16493, 'Density': 320.0, 'Households': 4147}","{'Income class': '5th municipal income class', 'Poverty incidence': 36.08, 'Revenue': 75900000.0, 'Assets': 267399999.99999997, 'Expenditure': 81610000.0, 'Liabilities': 128199999.99999999}",{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2826,140108000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,"/wiki/La_Paz,_Abra",m:140108000
8,8,Lacub,3612,295.3,12.23,6,Mun,Abra,/wiki/Lacub,Abra|Lacub,"{'Latitude': '17°40′N', 'Longitude': '120°57′E'}",Cordillera Administrative Region,Abra,Lo,{},6.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Nestor B. Bersamina', 'Vice Mayor': 'Estelita B. Bersamina', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Reynaldo L. Bernal', 'Paulo D. Valera', 'Edgardo M. Bulaay', 'Alejandro A. Feraren', 'Diosdado B. Daodaoen', 'Danny A. Lingbaoan', 'Leonardo S. Eguem Jr.', 'Narciso B. Sagmayao'], 'Electorate': {'Name': '3,047 voters ', 'Party': '2022'}}","[('Total', 295.302)]",723.0,1577.0,384.0,"{'Total': 3612, 'Density': 12.0, 'Households': 676}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2821,140109000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Lacub,m:140109000
9,9,Lagangilang,14914,101.44,147.02,17,Mun,Abra,/wiki/Lagangilang,Abra|Lagangilang,"{'Latitude': '17°37′N', 'Longitude': '120°44′E'}",Cordillera Administrative Region,Abra,Lo,{},17.0,"{'Type': 'Sangguniang Bayan', 'Mayor': 'Rovelyn E. Villamor', 'Vice Mayor': 'Paul Joseph Q. Abaya', 'Representative': 'Menchie B. Bernos', 'Municipal Council': ['Roderick T. Atmosfera', 'Ruben S. Martinez', 'Mary Ann B. Atmosfera', 'Maryzoul B. Alvis', 'Norberto A. Aldaca Sr.', 'Joseph T. Flores', 'Mauro R. Bringas', 'Edna B. Caliboso'], 'Electorate': {'Name': '10,614 voters ', 'Party': '2022'}}","[('Total', 101.442)]",111.0,343.0,49.0,"{'Total': 14914, 'Density': 150.0, 'Households': 3415}",,{'Electricity': 'Abra Electric Cooperative (ABRECO)'},UTC+8 (PST),2802,140110000.0,+63 (0)74,"['Itneg', ' Ilocano', ' Tagalog</td>']",,/wiki/Lagangilang,m:140110000
