,Unnamed: 0,ISO,Province,Capital_x,Population p.a. (2020),Population Count (2020),Island Group,Region_x,Municipalities,Cities,Barangays,Area_km2,Area_mi2,Density (2020)_km2,Density (2020)_mi2,Founded_date,Founded_a,Founded_b,Founded_c,Article Link_x,Coordinates,Region_y,Founded,Capital_y,Largest City,Government,Area,Elevation,Population,Divisions,Time Zone,IDD Area Code,Spoken Languages,Website,Article Link_y,PSGC,Ref. Id
0,0,PH-ABR,Abra,Bangued,0.23,250985,Luzon,CAR,27,,303,4165.25,1608.21,60.0,156.0,"(None, None, '1846')",,,1846,/wiki/Abra_(province),"{'Latitude': '17°35′N', 'Longitude': '120°45′E'}",Cordillera Administrative Region,"March 10, 1917",Bangued,,"{'Governor': {'Name': 'Dominic B. Valera ', 'Party': 'NUP/ASENSO'}, 'Vice Governor': {'Name': 'Maria Jocelyn V. Bernos ', 'Party': 'NUP/ASENSO'}, 'Legislature': 'Abra Provincial Board'}","{'Total': 4165.252, 'Rank': 29}","{'Body': 'Mt.Bangbanglang', 'Peak': 2467.0}",{},{},UTC+8,+63 (0)74,PH-ABR,www.abra.gov.ph,/wiki/Abra_(province),1400100000,p:1400100000
1,1,PH-AGN,Agusan del Norte,Cabadbaran,0.7,760413,Mindanao,XIII,10,2.0,253,3546.86,1369.45,214.0,555.0,"('20', 'Sep', '1907')",20.0,Sep,1907,/wiki/Agusan_del_Norte,"{'Latitude': '9°10′N', 'Longitude': '125°30′E'}",Caraga,17 June 1967,Cabadbaran,Butuan,"{'Governor': {'Name': 'Ma. Angelica Rosedell M. Amante-Matba ', 'Party': 'PDP–Laban'}, 'Vice Governor': {'Name': 'Enrico Corvera ', 'Party': 'PDP–Laban'}, 'Legislature': 'Agusan del Norte Provincial Board'}","{'Total': 2730.242, 'Rank': 48, '': <td class=""infobox-data"">(excluding Butuan)</td>}","{'Body': 'Mount Hilong-Hilong', 'Peak': 2012.0}","{'Total': 387503, 'Density': 140370.0}","{'Independent cities': 1, 'Component cities': 1, 'Municipalities': 10, 'Barangays': 167253, 'Districts': 'Legislative districts of Agusan del Norte'}",UTC+8,+63 (0)85,PH-AGN,www.agusandelnorte.gov.ph ,/wiki/Agusan_del_Norte,1600200000,p:1600200000
2,2,PH-AGS,Agusan del Sur,Prosperidad,0.68,739367,Mindanao,XIII,13,1.0,314,9989.52,3856.98,74.0,192.0,"('1', 'Jan', '1970')",1.0,Jan,1970,/wiki/Agusan_del_Sur,"{'Latitude': '8°30′N', 'Longitude': '125°50′E'}",Caraga,17 June 1967,Prosperidad,Bayugan,"{'Governor': {'Name': 'Santiago B. Cane Jr. ', 'Party': 'NUP'}, 'Vice Governor': {'Name': 'Samuel E. Tortor ', 'Party': 'NUP'}, 'Legislature': 'Agusan del Sur Provincial Board'}","{'Total': 9989.522, 'Rank': 4}","{'Body': 'Mount Datu Masuyapa', 'Peak': 1678.0}",{},"{'Independent cities': 0, 'Component cities': 1, 'Municipalities': 13, 'Barangays': 314, 'Districts': 'Legislative districts of Agusan del Sur'}",UTC+8,+63 (0)85,PH-AGS,agusandelsur.gov.ph,/wiki/Agusan_del_Sur,1600300000,p:1600300000
3,3,PH-AKL,Aklan,Kalibo,0.56,615475,Visayas,VI,17,,327,1821.42,703.25,338.0,875.0,"('25', 'Apr', '1956')",25.0,Apr,1956,/wiki/Aklan,"{'Latitude': '11°40′N', 'Longitude': '122°20′E'}",Western Visayas,25 April 1956,Kalibo,,"{'Governor': 'Jose Enrique M. Miraflores (PDP–Laban\n)', 'Vice Governor': {'Name': 'Reynaldo M. Quimpo ', 'Party': 'NP'}, 'Legislature': 'Aklan Provincial Board'}","{'Total': 1821.422, 'Rank': 64}","{'Body': 'Mount Timbaban', 'Peak': 1777.0}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 17, 'Barangays': 327, 'Districts': 'Legislative districts of Aklan'}",UTC+8,+63 (0)36,PH-AKL,aklan.gov.ph,/wiki/Aklan,600400000,p:600400000
4,4,PH-ALB,Albay,Legazpi,1.26,1374768,Luzon,V,15,3.0,720,2575.77,994.51,534.0,1382.0,"('3', 'Apr', '1574')",3.0,Apr,1574,/wiki/Albay,"{'Latitude': '13°14′N', 'Longitude': '123°38′E'}",Bicol Region,"April 3, 1574",Legazpi,,"{'Governor': {'Name': 'Edcel Greco Lagman ', 'Party': 'PFP'}, 'Vice Governor': {'Name': 'Baby Glenda O. Bongao ', 'Party': 'Liberal'}, 'Legislature': 'Albay Provincial Board'}","{'Total': 2575.772, 'Rank': None}","{'Body': 'Mount Mayon', 'Peak': 2463.0}",{},{},UTC+8,+63 (0)52,PH-ALB,albay.gov.ph,/wiki/Albay,500500000,p:500500000
5,5,PH-ANT,Antique,San Jose de Buenavista,0.56,612974,Visayas,VI,18,,590,2729.17,1053.74,225.0,582.0,"('10', 'Mar', '1917')",10.0,Mar,1917,/wiki/Antique_(province),"{'Latitude': '11°10′00″N', 'Longitude': '122°05′00″E'}",Western Visayas,"March 10, 1917
",San Jose de Buenavista,,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Rhodora J. Cadiao ', 'Party': 'NUP'}, 'Vice Governor': {'Name': 'Edgar D. Denosta ', 'Party': 'NUP'}, 'Legislature': 'Antique Provincial Board'}","{'Total': 2729.172, 'Rank': 49}","{'Body': 'Mount Madja-as', 'Peak': 2117.0}",{},{},UTC+8,+63 (0)36,PH-ANT,antique.gov.ph,/wiki/Antique_(province),600600000,p:600600000
6,6,PH-APA,Apayao,Kabugao,0.11,124366,Luzon,CAR,7,,133,4413.35,1704.0,28.0,73.0,"('14', 'Feb', '1995')",14.0,Feb,1995,/wiki/Apayao,"{'Latitude': '17°45′N', 'Longitude': '121°15′E'}",Cordillera Administrative Region,"May 8, 1995",Kabugao,,"{'Governor': {'Name': 'Elias C. Bulut Jr. ', 'Party': 'NPC'}, 'Vice Governor': {'Name': 'Remy N. Albano ', 'Party': 'KBL'}, 'Legislature': 'Apayao Provincial Board'}","{'Total': 4413.352, 'Rank': 27}","{'Body': 'Mount Lungod', 'Peak': 1921.0}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 7, 'Barangays': 133, 'Districts': 'Legislative district of Apayao'}",UTC+8,+63 (0)74,PH-APA,www.apayao.gov.ph,/wiki/Apayao,1408100000,p:1408100000
7,7,PH-AUR,Aurora,Baler,0.22,235750,Luzon,III,8,,151,3147.32,1215.19,75.0,194.0,"('13', 'Aug', '1979')",13.0,Aug,1979,/wiki/Aurora_(province),"{'Latitude': '15°53′N', 'Longitude': '121°33′E'}",Central Luzon,1951 (as sub-province of Quezon),Baler,,"{'Governor': {'Name': 'Reynante A. Tolentino ', 'Party': 'LDP'}, 'Legislature': 'Aurora Provincial Board'}","{'Total': 3147.322, 'Rank': None}","{'Body': 'Mount Mingan', 'Peak': 1901.0}",{},"{'Independent cities': 0, 'Component cities': 0, 'Municipalities': 8, 'Barangays': 151, 'Districts': 'Legislative district of Aurora'}",UTC+8,+63 (0)42,PH-AUR,www.aurora.gov.ph,/wiki/Aurora_(province),307700000,p:307700000
8,8,PH-BAS,Basilan,Lamitan,0.51,556586,Mindanao,BARMM[v],11,2.0,255,1327.23,512.45,419.0,1086.0,"('27', 'Dec', '1973')",27.0,Dec,1973,/wiki/Basilan,"{'Latitude': '7°N', 'Longitude': '122°E'}", Bangsamoro (Whole province except Isabela City)  Zamboanga Peninsula (Isabela City only),,Lamitan,Isabela,"{'Type': 'Sangguniang Panlalawigan', 'Governor': {'Name': 'Hadjiman S. Hataman-Salliman ', 'Party': 'PFP'}, 'Vice Governor': {'Name': 'Yusop T. Alano ', 'Party': 'PDP-Laban'}, 'Representative': {'Name': 'Mujiv S. Hataman ', 'Party': 'LP'}, 'Legislature': 'Basilan Provincial Board'}","{'Total': 1327.232, 'Rank': None}","{'Body': 'Basilan Peak', 'Peak': 998.0}",{},{},UTC+8,+63 (0)62,PH-BAS,www.basilan.gov.ph,/wiki/Basilan,1900700000,p:1900700000
9,9,PH-BAN,Bataan,Balanga,0.78,853373,Luzon,III,11,1.0,237,1373.98,530.5,622.0,1610.0,"('11', 'Jan', '1754')",11.0,Jan,1754,/wiki/Bataan,"{'Latitude': '14°41′N', 'Longitude': '120°27′E'}",Central Luzon,"January 11, 1757",Balanga,,"{'Governor': {'Name': 'Jose Enrique S. Garcia III ', 'Party': 'NUP'}, 'Vice Governor': {'Name': 'Ma. Cristina M. Garcia ', 'Party': 'NUP'}, 'Legislature': 'Bataan Provincial Board'}","{'Total': 1372.982, 'Rank': None}","{'Body': 'Mount Mariveles', 'Peak': 1398.0}",{},"{'Independent cities': 0, 'Component cities': 1, 'Municipalities': 11, 'Barangays': 237, 'Districts': 'Legislative districts of Bataan'}",UTC+8,+63 (0)47,PH-BAN,bataan.gov.ph,/wiki/Bataan,300800000,p:300800000
